,-0.2490,-0.1990,-0.1490,-0.0990,-0.0490,0.0010,0.0510,0.1010,0.1510,0.2010,0.2510,0.3010
0.0250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1750,0.0000,0.0000,0.0000,46370.8867,246218992.0000,286749280.0000,41832.3125,299354720.0000,0.0000,0.0000,0.0000,0.0000
0.2250,0.0000,0.0000,55041.8438,45445.3906,231639184.0000,46920.8555,41832.3125,299354720.0000,252940800.0000,0.0000,0.0000,0.0000
0.2750,0.0000,53872.7305,54082.1172,61657.7617,357859456.0000,62944.6836,61346.7930,375601600.0000,369151008.0000,23003.4043,0.0000,0.0000
0.3250,17095.3828,17095.3828,33575.7734,25879.1914,206386832.0000,25353.7988,39078.8594,142279952.0000,248411136.0000,19349.8613,47010.0820,0.0000
0.3750,17095.3828,17095.3828,2012.7233,72061768.0000,15006465.0000,6876.2305,6876.2305,72300704.0000,72300704.0000,19349.8613,47010.0820,0.0000
0.4250,0.0000,2012.7233,2012.7233,15006465.0000,15006465.0000,6876.2305,6876.2305,72300704.0000,0.0000,0.0000,0.0000,0.0000
